keys,zh_CN,en
UI_GAME_TITLE,山路,Mountain Road
UI_GAME_SUBTITLE,一盏灯，一条路，一次筑基,One lantern. One road. One breakthrough.
UI_TITLE_EYEBROW,山 雨 将 至 · 阵 灯 未 明,STORM GATHERS · THE LANTERN FADES
UI_TITLE_CAPTION,阵灯隘口 · 炼气九层,Lantern Pass · Qi Refining IX
UI_TITLE_ROLE,炼气行者,QI REFINER
UI_TITLE_JOURNEY,以剑问路\n借阵筑基,Walk by sword\nBuild by array
UI_TITLE_MENU,踏上山路,Begin Journey
UI_TITLE_CONFIRM_HINT,Enter / A  确认,Enter / A  Confirm
UI_START,开始,Start
UI_LOAD,读取存档,Load
UI_SAVE,保存存档,Save
UI_SETTINGS,设置,Settings
UI_QUIT,退出游戏,Quit Game
UI_INVENTORY,行囊,Inventory
UI_INVENTORY_EMPTY,行囊尚空 · 先沿山路前行,Your pack is empty · Follow the mountain road
UI_MENU_HINT,Enter / A 使用 · Esc / B 返回,Enter / A use · Esc / B back
UI_MENU_TITLE,行旅录,Journey Record
UI_MENU_STATUS,状态,Status
UI_MENU_INVENTORY,行囊,Inventory
UI_MENU_EQUIPMENT,装备,Equipment
UI_MENU_SKILLS,法术,Skills
UI_MENU_SYSTEM,系统,System
UI_MENU_HINT_BACK,Enter / A 确认 · Esc / B 返回,Enter / A confirm · Esc / B back
UI_MENU_ALL,全部,All
UI_MENU_CONSUMABLE,消耗,Consumables
UI_MENU_KEY_ITEM,关键物,Key Items
UI_MENU_MATERIAL,材料,Materials
UI_MENU_CATEGORY_EMPTY,这一类尚无物品,No items in this category
UI_MENU_CAPACITY,容量 %d / %d,Capacity %d / %d
UI_MENU_QUANTITY,持有 ×%d,Owned ×%d
UI_MENU_USE,使用,Use
UI_MENU_SET_QUICK,设快捷,Set Quick
UI_MENU_DISCARD,丢弃,Discard
UI_MENU_EQUIP,装备,Equip
UI_MENU_UNEQUIP,卸下,Unequip
UI_MENU_CANCEL,取消,Cancel
UI_MENU_NONE,无,None
UI_MENU_PARTY_EMPTY,队伍为空,Party is empty
UI_MENU_STATUS_FORMAT,%s\n%s %d层　修为 %d　道基 %s\n体力 %d / %d　真气 %d / %d　攻击 %d\n法器 %s　钱 %d,%s\n%s Layer %d  Cultivation %d  Foundation %s\nHP %d / %d  Qi %d / %d  Attack %d\nArtifact %s  Money %d
UI_MENU_FIELD_AND_BATTLE,地图与战斗可用,Usable in field and battle
UI_MENU_FIELD_ONLY,仅地图可用,Field only
UI_MENU_BATTLE_ONLY,仅战斗可用,Battle only
UI_MENU_NOT_USABLE,不可直接使用,Not directly usable
UI_MENU_KEY_CAPACITY_FREE,不占普通容量,No regular capacity
UI_MENU_USES_CAPACITY,占用一类容量,Uses one capacity slot
UI_MENU_SELECT_ITEM,选择物品查看详情,Select an item for details
UI_MENU_USED,使用了%s · 恢复 %d,Used %s · Restored %d
UI_MENU_NO_EFFECT,现在不需要使用%s,%s has no effect now
UI_MENU_CANNOT_USE,无法使用%s,Cannot use %s
UI_MENU_QUICK_ASSIGNED,%s已设为战斗快捷物品,%s set as battle item
UI_MENU_QUICK_UNCHANGED,%s已经是快捷物品,%s is already the battle item
UI_MENU_QUICK_FAILED,无法设置这个快捷物品,Cannot set this battle item
UI_MENU_DISCARD_TITLE,丢弃物品,Discard Item
UI_MENU_DISCARD_CONFIRM,确认丢弃,Discard
UI_MENU_DISCARD_PROMPT,要丢弃多少“%s”？,How many “%s” should be discarded?
UI_MENU_DISCARDED,丢弃了%s ×%d,Discarded %s ×%d
UI_MENU_DISCARD_FAILED,无法丢弃这个物品,Cannot discard this item
UI_MENU_WEAPON_SLOT,法器,Artifact
UI_MENU_EQUIPMENT_COMPARE,变化　体力 %s　真气 %s　攻击 %s,Change  HP %s  Qi %s  Attack %s
UI_MENU_CURRENT_EQUIPMENT,当前装备,Currently equipped
